fishID,trial,tank,group,treatment,SL,activity,shelter,thigmotaxis,novel,emergT
1,1,A,CO2,before,38.2,7056.820833,26,24.94166667,0.595833333,40
2,1,B,CO2,before,32.2,313.73,59.03,0.905,0,238
3,1,C,CO2,before,34.1,4490.212,23.572,13.688,6.664,34
4,1,D,CO2,before,33.9,723.512,57.98,1.652,0.016,54
5,1,A,CO2,before,34.6,3098.8125,48.3125,5.495833333,1.141666667,25
6,1,C,CO2,before,31.2,,,,,1580
7,1,B,CO2,before,34.4,4137.158333,31.65833333,20.78333333,0.495833333,47
8,1,D,CO2,before,36.2,7077.561538,4.869230769,28.14615385,3.157692308,0.1
9,1,D,CO2,before,32.4,2927.044,38.348,18.088,0.296,29
10,1,C,CO2,before,35.5,6546.633333,11.725,22.98333333,7.808333333,58
11,1,A,CO2,before,32.2,2148.404,2.392,16.524,29.848,2
12,1,D,CO2,before,28.4,3171.934615,37.21538462,19.95,0.161538462,0.1
13,1,B,CO2,before,37.9,6435.0375,19.80416667,33.80416667,0.395833333,65
14,1,C,CO2,before,34.3,2343.628,50.408,5.124,0.292,0.1
15,1,A,CO2,before,35.8,4902.008,6.496,39.728,0.744,0.1
16,1,B,CO2,before,33.2,3322.956,1.124,56.536,0,1
17,1,C,CO2,before,29.2,739.7846154,55.03461538,4.188461538,0.019230769,2
18,1,D,CO2,before,33.8,30.825,59.99375,0,0,563
19,1,B,CO2,before,33.5,,,,,1580
20,1,C,CO2,before,30.6,151.5,60,0,0,342
21,1,D,CO2,before,31.3,4745.018182,25.58636364,18.75909091,2.140909091,265
22,1,A,CO2,before,32.6,2304.46,46.73,1.485,4.96,288
23,1,C,CO2,before,32.6,3165.638462,43.49230769,9.892307692,1.276923077,19
24,1,B,CO2,before,31.8,,,,,1580
25,1,D,CO2,before,36,4179.626923,14.88076923,35.12307692,0.342307692,22
26,1,C,CO2,before,30.6,2775.192,32.328,23.784,1.408,2
27,1,C,CO2,before,34,3564.768,26.624,19.188,1.064,1
28,1,B,CO2,before,34,668.688,53.256,5.936,0.048,0.1
29,1,B,CO2,before,29.2,4026.856,36.22,16.096,0.492,6
30,1,A,CO2,before,31.6,5391.277273,30.75,15.50909091,1.518181818,189
31,1,C,CO2,before,34.1,343.5,59.95833333,0.041666667,0,714
32,1,D,CO2,before,36.2,6289.803846,4.030769231,17.88846154,1.45,5
33,1,D,CO2,before,30.8,2110.42,50.48,8.62,0,1250
34,1,A,CO2,before,31.9,4941.528,28.304,21.64,0.484,0.1
35,1,A,CO2,before,36,,,,,1580
36,1,B,CO2,before,31.8,5459.145833,3.320833333,36.33333333,6.708333333,56
37,1,C,CO2,before,36.7,4485.458333,1.983333333,44.2625,1.9875,2
38,1,D,control,before,33.7,5025.623077,22.37692308,16.35769231,1.857692308,3
39,1,D,control,before,30.9,2696.895238,47.73809524,4.8,0.828571429,220
41,1,B,control,before,32.4,6126.404,6.304,24.748,6.188,0.1
42,1,B,control,before,34.2,3019.769565,46.44347826,11.84347826,0.073913043,83
43,1,D,control,before,37.4,4844.313636,5.990909091,29.86363636,1.718181818,250
44,1,A,control,before,32.8,6462.14,1.944,8.712,15.576,0.1
45,1,C,control,before,35.7,4713.096,8.804,42.488,0.624,26
46,1,B,control,before,34.8,4129.5375,1.10625,51.425,0.0875,491
47,1,A,control,before,30.2,5268.568182,23.71363636,19.11363636,0.454545455,156
48,1,C,control,before,31.7,52.06666667,60.03333333,0,0,1341
49,1,C,control,before,33,1006.377273,54.88636364,3.636363636,0.104545455,221
50,1,D,control,before,37.5,4510.609091,13.83181818,16.81818182,3.559090909,105
53,1,B,control,before,32,6313.7,2.095833333,44.47083333,1.479166667,49
54,1,C,control,before,29.4,566.276,59.416,0.56,0,45
55,1,D,control,before,36.1,5417.504,9.74,29.472,0.988,41
56,1,A,control,before,33.4,5390.916667,9.058333333,42.12916667,2.020833333,30
57,1,D,control,before,33.2,3859.54,44.432,12.024,0.044,54
58,1,A,control,before,28.5,4332.191304,27.16956522,21.46956522,2.034782609,120
59,1,B,control,before,32.1,5520.196,24.14,22.528,1.28,6
60,1,C,control,before,33.1,2828.203846,35.79615385,16.63846154,0.419230769,29
61,1,D,control,before,31.4,4129.15,22.9375,12.025,4.3875,75
62,1,A,control,before,29.9,411.6521739,59.96521739,0.008695652,0,105
63,1,C,control,before,28.5,2618.376923,36.80384615,20.25,0.296153846,1
64,1,B,control,before,28.6,2777.086364,32.81363636,8.059090909,5.331818182,184
65,1,A,control,before,36.4,4577.158333,1.933333333,27.71666667,6.8,17
